sim_id,truth_id,beta_case,n,alpha,tau,lambda_D,lambda_H,lambda_C,betaD1,betaD2,betaH1,betaH2,betaC1,betaC2,L,link,adjusted,n_rep,seed_base,truth_n_pair,truth_n_iter,truth_seed,progress_every
1,1,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,unadjusted,1000,110000,100000,100,51000,25
2,1,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,IPCW,1000,120000,100000,100,51000,25
3,2,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,unadjusted,1000,130000,100000,100,52000,25
4,2,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,IPCW,1000,140000,100000,100,52000,25
5,3,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,unadjusted,1000,150000,100000,100,53000,25
6,3,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,IPCW,1000,160000,100000,100,53000,25
7,4,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,unadjusted,1000,170000,100000,100,54000,25
8,4,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,IPCW,1000,180000,100000,100,54000,25
9,5,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,unadjusted,1000,190000,100000,100,55000,25
10,5,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,IPCW,1000,200000,100000,100,55000,25
11,6,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,probit,unadjusted,1000,210000,100000,100,56000,25
12,6,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,probit,IPCW,1000,220000,100000,100,56000,25
13,7,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,unadjusted,1000,230000,100000,100,57000,25
14,7,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,IPCW,1000,240000,100000,100,57000,25
15,8,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,unadjusted,1000,250000,100000,100,58000,25
16,8,B1,200,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,IPCW,1000,260000,100000,100,58000,25
17,9,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,unadjusted,1000,270000,100000,100,59000,25
18,9,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,IPCW,1000,280000,100000,100,59000,25
19,10,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,unadjusted,1000,290000,100000,100,60000,25
20,10,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,IPCW,1000,300000,100000,100,60000,25
21,11,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,unadjusted,1000,310000,100000,100,61000,25
22,11,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,IPCW,1000,320000,100000,100,61000,25
23,12,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,unadjusted,1000,330000,100000,100,62000,25
24,12,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,IPCW,1000,340000,100000,100,62000,25
25,13,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,unadjusted,1000,350000,100000,100,63000,25
26,13,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,IPCW,1000,360000,100000,100,63000,25
27,14,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,probit,unadjusted,1000,370000,100000,100,64000,25
28,14,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,probit,IPCW,1000,380000,100000,100,64000,25
29,15,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,unadjusted,1000,390000,100000,100,65000,25
30,15,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,IPCW,1000,400000,100000,100,65000,25
31,16,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,unadjusted,1000,410000,100000,100,66000,25
32,16,B1,200,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,IPCW,1000,420000,100000,100,66000,25
33,1,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,unadjusted,1000,430000,100000,100,51000,25
34,1,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,IPCW,1000,440000,100000,100,51000,25
35,2,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,unadjusted,1000,450000,100000,100,52000,25
36,2,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,IPCW,1000,460000,100000,100,52000,25
37,3,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,unadjusted,1000,470000,100000,100,53000,25
38,3,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,IPCW,1000,480000,100000,100,53000,25
39,4,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,unadjusted,1000,490000,100000,100,54000,25
40,4,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,IPCW,1000,500000,100000,100,54000,25
41,5,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,unadjusted,1000,510000,100000,100,55000,25
42,5,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,IPCW,1000,520000,100000,100,55000,25
43,6,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,probit,unadjusted,1000,530000,100000,100,56000,25
44,6,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,probit,IPCW,1000,540000,100000,100,56000,25
45,7,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,unadjusted,1000,550000,100000,100,57000,25
46,7,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,logit,IPCW,1000,560000,100000,100,57000,25
47,8,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,unadjusted,1000,570000,100000,100,58000,25
48,8,B1,400,1.0,0.0,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,Inf,probit,IPCW,1000,580000,100000,100,58000,25
49,9,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,unadjusted,1000,590000,100000,100,59000,25
50,9,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,logit,IPCW,1000,600000,100000,100,59000,25
51,10,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,unadjusted,1000,610000,100000,100,60000,25
52,10,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,0.5,probit,IPCW,1000,620000,100000,100,60000,25
53,11,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,unadjusted,1000,630000,100000,100,61000,25
54,11,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,logit,IPCW,1000,640000,100000,100,61000,25
55,12,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,unadjusted,1000,650000,100000,100,62000,25
56,12,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,1.0,probit,IPCW,1000,660000,100000,100,62000,25
57,13,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,unadjusted,1000,670000,100000,100,63000,25
58,13,B1,400,2.0,0.5,0.25,1.0,0.35,0.6,-0.4,0.25,0.55,-0.6,0.5,2.0,logit,IPCW,1000,680000,100000,100,63000,25
